year,sex,age,value
2025,both,76,340.7
2025,both,77,332.5
2025,both,78,322.7
2025,both,79,270.1
2025,both,80,242.7
2025,both,81,226.8
2025,both,82,208.7
2025,both,83,185.3
2025,both,84,168.3
2025,both,85,148.9
2025,both,86,133.9
2025,both,87,118.6
2025,both,88,103.4
2025,both,89,91.6
2025,both,90,78.2
2025,both,91,65.6
2025,both,92,56
2025,both,93,46.1
2025,both,94,37.2
2025,both,95,28.6
2025,both,96,21.1
2025,both,97,15.7
2025,both,98,11
2025,both,99,7.6
2025,both,100,13.1
2026,both,40,536.1
2026,both,41,538.9
2026,both,42,536.6
2026,both,43,535
2026,both,44,530.5
2026,both,45,532.5
2026,both,46,522.8
2026,both,47,509.4
2026,both,48,499.3
2026,both,49,495.2
2026,both,50,492
2026,both,51,487.9
2026,both,52,474
2026,both,53,471.1
2026,both,54,474.2
2026,both,55,491.3
2026,both,56,485.2
2026,both,57,479.1
2026,both,58,472.9
2026,both,59,474.9
2026,both,60,496.8
2026,both,61,526.6
2026,both,62,538.6
2026,both,63,539.6
2026,both,64,526
2026,both,65,528.8
2026,both,66,515.9
2026,both,67,500.5
2026,both,68,490.2
2026,both,69,474.1
2026,both,70,455.5
2026,both,71,444.7
2026,both,72,421.5
2026,both,73,396.6
2026,both,74,375.6
2026,both,75,361.9
2026,both,76,347.3
2026,both,77,332.8
2026,both,78,323.8
2026,both,79,313.2
2026,both,80,261.3
2026,both,81,233.7
2026,both,82,217.4
2026,both,83,198.9
2026,both,84,175.5
2026,both,85,158.2
2026,both,86,138.8
2026,both,87,123.5
2026,both,88,108.1
2026,both,89,92.9
2026,both,90,81
2026,both,91,67.9
2026,both,92,55.8
2026,both,93,46.5
2026,both,94,37.5
2026,both,95,29.6
2026,both,96,22.2
2026,both,97,15.9
2026,both,98,11.5
2026,both,99,7.8
2026,both,100,13.7
2027,both,40,530.2
2027,both,41,539.1
2027,both,42,541.4
2027,both,43,538.9
2027,both,44,536.8
2027,both,45,532.2
2027,both,46,533.6
2027,both,47,524.1
2027,both,48,510.4
2027,both,49,499.7
2027,both,50,495.6
2027,both,51,491.7
2027,both,52,487.9
2027,both,53,473.6
2027,both,54,470.5
2027,both,55,473.4
2027,both,56,490.2
2027,both,57,483.9
2027,both,58,477.7
2027,both,59,471.4
2027,both,60,473.2
2027,both,61,494.9
2027,both,62,524.2
2027,both,63,536
2027,both,64,536.7
2027,both,65,522.9
2027,both,66,525.2
2027,both,67,511.8
2027,both,68,496.2
2027,both,69,485.6
2027,both,70,469.2
2027,both,71,450.3
2027,both,72,439
2027,both,73,415.5
2027,both,74,390.3
2027,both,75,368.9
2027,both,76,354.7
2027,both,77,339.4
2027,both,78,324.4
2027,both,79,314.6
2027,both,80,303.2
2027,both,81,251.8
2027,both,82,224.2
2027,both,83,207.3
2027,both,84,188.5
2027,both,85,165.1
2027,both,86,147.5
2027,both,87,128
2027,both,88,112.6
2027,both,89,97.2
2027,both,90,82.2
2027,both,91,70.3
2027,both,92,57.8
2027,both,93,46.5
2027,both,94,37.9
2027,both,95,29.8
2027,both,96,22.9
2027,both,97,16.7
